명소 이름,개요,주소,Latitude,Longitude,문의,주차장,화장실,추천코스,전체코스,추천계절,휴무일,관람료,보조기기 대여,편의/부대시설,해설사,추천 대상,이동약자를 위한 안내
가문동 해안길,"아름다운 해안 길을 따라 여유를 가지며 산책을 즐기기에도 좋고, 드라이브 코스로도 추천 하고싶은 코스이다. 가문동 설천유래를 알 수 있는 해안가 벽화를 감상하며 산책하기도 좋고, 바다와 함께 보이는 한라산 뷰, 낚시를 즐기는 사람들을 보고 있으면, 제주의 여유로움을 한층 더 느낄 수 있게 해주는 곳이다.","제주 제주시 애월읍 하귀2리 2696-1 - 내비게이션에 ‘가문동 포구’ 입력 - 제주공항에서 11.7km 위치, 약 20분 소요",33.4853529,126.3931115,,"장애인 주차장 유무: 없음, 장애인 주차 대수: -, 위치: 제주 제주시 애월읍 하귀2리 2696-1","장애인 화장실: 없음, 구분: -, 위치: 제주 제주시 애월읍 하귀2리 2729-1, 주변(대체)화장실: 하귀 하나로마트 화장실",1. 주차장(가문동 포구 공터) → 2. 가문동항 북방파제 등대 → 3. 가문동 설촌유래 벽화 → 4. 큰물도  → 5. 용암바위  → 6. 갈대길,1. 주차장(가문동 포구 공터) → 2. 가문동항 북방파제 등대 → 3. 가문동 설촌유래 벽화 → 4. 큰물도  → 5. 용암바위  → 6. 갈대길,"봄, 여름, 가을, 겨울, ●, ●, ●, ●",연중무휴,없음,없음,없음,없음,"지적장애인: ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(수동): ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(전동): ●, 보행가능한 지체장애인: ●, 청각장애인: ●, 시각장애인: ●, 동행인 / 보호자 동반 추천",
검은여쉼터 & 검은여로,"올레 6코스에 해당하는 길로 잘 닦긴 시멘트 길과 남쪽 제주 바다의 색다른 정취를 감상할 수 있으며, 한눈에 들어오는 섶섬과 문섬의 풍경이 장관을 이루는 곳이다. 또 한 검은 현무암 빌레에 부딪치는 파도 소리를 듣는 재미가 있다.","제주 서귀포시 보목동 1443 - 내비게이션 ‘백록정’ 입력 - 제주공항에서 43.3km 위치, 약 1시간 10분 소요",33.2439671,126.5888219,,"장애인 주차장 유무: 없음, 장애인 주차 대수: -, 위치: 백록정 옆 공터 이용 (제주 서귀포시 보목동 1443)","장애인 화장실: 없음, 구분: -, 위치: -, 주변(대체)화장실: 정방폭포 공중화장실 (제주 서귀포시 동홍동 299-3)",1. 주차장 → 2. 겡이 우체통 쉼터 → 3. 문섬 전망 뷰포인트 → 4. 좌측 섶섬 전망 뷰포인트 → 5. 폭포 포토스팟 → 6. 오르막(휠체어 반환점),1. 주차장 → 2. 겡이 우체통 쉼터 → 3. 문섬 전망 뷰포인트 → 4. 좌측 섶섬 전망 뷰포인트 → 5. 폭포 포토스팟→ 6. 오르막(휠체어 반환점) → 7. 검은여쉼터,"봄, 여름, 가을, 겨울, ●, ●, ●, ●",연중무휴,없음,없음,없음,없음,"지적장애인: ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(수동): ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(전동): ●, 보행가능한 지체장애인: ●, 청각장애인: ●, 시각장애인: ●, 동행인 / 보호자 동반 추천",
곤을동환해장성길,"제주의 돌담길이자 해안 길을 이어 놓은 곳으로, 해안 길을 따라 쌓여진 돌담길을 볼 수 있다. 4.3사건의 역사와 함께 과거 외적의 침입을 막기 위해 현무암으로 높게 쌓아 만들어진 환해장성을 볼 수 있고, 옛 제주의 풍경을 간직하고 있는 곤을동 마을도 찾아 볼 수 있다. 작고 좁은 마을길을 따라 걸으며 조용하게 여유를 즐기며 추억을 만들어 가기 좋은 곳이다.","제주 제주시 곤을길 23 - 내비게이션에 ‘목마가든’(제주시 곤을길 23) 입력 - 제주공항에서 9.1km 위치, 약 22분 소요",33.5231769,126.5594037,,"장애인 주차장 유무: 없음, 장애인 주차 대수: -, 위치: 제주시 곤을길 23(목마가든) 근처 공터 주차장","장애인 화장실: -, 구분: -, 위치: 화북포구 공중화장실 (제주 제주시 화북일동 4269-11), 주변(대체)화장실: -","1. (목마가든)공터 (정자) → 2. 곤을동 환해장성 표지판 → 3. 별도봉, 산지등대 전망, (길이 끝남) 문화재보호타운, 돌길로 연결되어 있음 → 4. 전통 올레길 → 5. 기수갈고둥표지판 → 6. 등대 뷰 포인트 → 7. 4.3유적지 곤을동","1. (목마가든)공터 (정자) → 2. 곤을동 환해장성 표지판 → 3. 별도봉, 산지등대 전망, (길이 끝남) 문화재보호타운, 돌길로 연결되어 있음 → 4. 전통 올레길 → 5. 기수갈고둥표지판 → 6. 등대 뷰 포인트 → 7. 4.3 유적지 곤을동 마을 터 → 8. 잃어버린 마을 곤을동 마을터 → 9. 제주바당길(비장애 첫 번째 반환점) → 10. 환해장성 → 11. 화북포구 초입, 주차 가능 공터(두 번째 반환점, 종료점)","봄, 여름, 가을, 겨울, ●, ●, ●, ●",연중무휴,없음,없음,없음,없음,"지적장애인: ●, 동행인 / 보호자 동반 추천, 휠체어 이, 휠체어 이용인(수동): , 휠체어 이용인(전동): , 보행 가능한 지체장애인: , 청각장애인: , 시각장애인: ",
공천포구와 넙빌레,"공천 포구에 들려 바다뷰를 감상하고 몽돌 방파제를 따라 지귀도의 풍경과 함께 바다를 가까이에서 산책할 수 있는 곳이다. 넙빌레에는 야영장이 있으며 예쁜 포토존이 자리 잡고 있다. 전체적인 코스의 노면은 시멘트 포장길이 되어 있고, 평탄하여 접근성이 좋다.","제주 서귀포시 남원읍 신례리 공천포구 - 내비게이션에 ‘공천포구’ 입력  - 제주공항에서 47km 위치, 약 1시간 2분 소요",33.2631835,126.641713,,"장애인 주차장 유무: 없음, 장애인 주차 대수: -, 위치: 공천포구 주차장 (제주 서귀포시 남원읍 공천포로 39)","장애인 화장실: 없음, 구분: -, 위치: -, 주변(대체)화장실: 공천포 전지훈련센터 (제주 서귀포시 남원읍 신례리 335)","1. 공천포구 주차장 → 2. 포구 쉼터 → 3. 몽돌 방파제 둑 해안 산책로 → 4. 넙빌레교 → 5. 조형물, 포토스팟 → 6. 넙빌레 올레 5코스 표지판","1. 공천포구 주차장 → 2. 포구 쉼터 → 3. 몽돌 방파제 둑 해안 산책로 → 4. 넙빌레교 → 5. 조형물, 포토스팟 → 6. 넙빌레 올레 5코스 표지판","봄, 여름, 가을, 겨울, ●, ●, ●, ●",연중무휴,없음,없음,없음,없음,"지적장애인: ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(수동): ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(전동): ●, 보행 가능한 지체장애인: ●, 청각장애인: ●, 시각장애인: ●, 동행인 / 보호자 동반 추천",
귀덕 해안길,곽지해수욕장 근처에 있는 귀덕궤물동산을 시작으로 귀덕해안을 감상할 수 있는 코스이다. 귀덕궤물동산은 곽지해수욕장 근처에 있는 작은 언덕으로 궤는 땅 속으로 파인 작은 바위굴을 말한다. 벽화가 그려진 해안 담을 따라 걸으며 벽화와 바다를 함께 감상하고 포토스팟에서 사진을 남길 수 있다.,"제주 제주시 한림읍 귀덕9길 21-1 - 내비게이션에 ‘귀덕궤물동산’ 입력 - 제주공항에서 22.6km 위치, 약 31분 소요",33.4425426,126.289524,,"장애인 주차장 유무: 없음, 장애인 주차 대수: -, 위치: 귀덕궤물동산 공터","장애인 화장실: 없음, 구분: -, 위치: -, 주변(대체)화장실: 곽지해수욕장 화장실 (제주 제주시 애월읍 곽지리 1566)",1. 공터(주차장) → 2. 궤물동산 → 3. 해안길 → 4. 정자(전망대) → 5. 구쟁기이야기 다리 위 포토존→ 6. 한수풀 해녀학교 → 7. 진질개 도대불,1. 공터(주차장) → 2. 궤물동산 → 3. 해안길 → 4. 정자(전망대) → 5. 구쟁기이야기 다리 위 포토존→ 6. 한수풀 해녀학교 → 7. 진질개 도대불,"봄, 여름, 가을, 겨울, ●, ●, ●, ●",연중무휴,없음,없음,없음,없음,"지적장애인: ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(수동): ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(전동): ●, 보행가능한 지체장애인: ●,  청각장애인: ●, 시각장애인: ●, 동행인 / 보호자 동반 추천",
귀덕마을길(리사무소-라신동),"귀덕2리의 용천수인 나신물(굼둘애기물)이 있으며, KT 기적의도로 광고 촬영지인 굼둘애기물 앞 인어상에서 사진을 남길 수 있다. 해안담을 따라 걸으며 제주의 풍경과 해녀 벽화를 감상하고, 귀덕향토길을 따라 마을길을 탐방할 수 있다.","제주 제주시 한림읍 귀덕3길 44 - 내비게이션에 ‘귀덕2리사무소’ 입력 - 제주공항에서 23.6km 위치, 약 38분 소요",33.4415635,126.2793498,,"장애인 주차장 유무: 없음, 장애인 주차 대수: -, 위치: 귀덕2리사무소","장애인 화장실: -, 구분: -, 위치: -, 주변(대체)화장실: 곽지해수욕장 화장실 (제주 제주시 애월읍 곽지리 1566)",1. 귀덕2리 사무소 → 2. 오션뷰 포인트 → 3. 쉼터(정자) → 4. 오션뷰 포인트(조형물) → 5. 정자 → 6. 부표밭담길,1. 귀덕2리 사무소 → 2. 오션뷰 포인트 → 3. 쉼터(정자) → 4. 오션뷰 포인트(조형물) → 5. 정자 → 6. 부표밭담길,"봄, 여름, 가을, 겨울, ●, ●, ●, ●",연중무휴,없음,없음,없음,없음,"지적장애인: ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(수동): ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(전동): ●, 보행가능한 지체장애인: ●,  청각장애인: ●, 시각장애인: ●, 동행인 / 보호자 동반 추천",
"금악리, 골목식당 투어","SBS 골목식당 지역 경제 살리기 프로젝트의 촬영지로 이색적인 4개의 식당을 이용할 수 있으며, 풍경이 아름다운 금오름과 4분 거리에 있는 금악리 마을에 위치하여 있다.","제주 제주시 한림읍 금악리 2133-1 네비게이션 ‘금악리새마을회 전기차충전소’ 검색 제주공항 32.9km 위치, 42분 소요",33.3598945,126.2949035,,"장애인 주차장 유무: 없음, 장애인 주차 대수: -, 위치: 금악리새마을회 전기자동차충전소 (제주 제주시 한림읍 금악리 2133-1)","장애인 화장실: 있음, 구분: 남녀구분, 위치: 상명리 복지회관 1층 (제주 제주시 한림읍 상명1길 16-1), 주변(대체)화장실: -","주차장 → 2. 궤동산 → 3. 골목식당(꿀봉, 아니따 파스타)/(치꼬, 똣똣라면)   → 4. 금악리 마을 산책로(금악보건소 정류장 맞은편) → 5. 벵듸못 → 6. 금악리 복지회관","1. 주차장 → 2. 궤동산 → 3. 골목식당(꿀봉, 아니따 파스타)/(치꼬, 똣똣라면)   → 4. 금악리 마을 산책로(금악보건소 정류장 맞은편) → 5. 벵듸못 → 6. 금악리 복지회관 → 7. 금오름","봄, 여름, 가을, 겨울, ●, ●, ●, ●","아니따 파스타 : 매주 화요일 휴무, 꿀봉 : 매주 월요일 휴무, 똣똣라면 : 매주 수요일 휴무",없음,없음,없음,없음,"지적장애인: ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(수동): ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(전동): ●, 보행가능한 지체장애인: ●,  청각장애인: ●, 시각장애인: ●, 동행인 / 보호자 동반 추천",
김녕항길과 윤씨하르방쉼터,"김녕항에서는 맑고 푸른 바다와 다양한 기암절벽의 조화로운 모습을 볼 수 있다. 서방파제는 요트 계류장과 국제요트학교가 있어 요트 체험을 즐기기에도 적당한 곳이다. 동방파제 인근에서는 해안선과 함께 해안가 마을, 제주의 오름을 사진으로 남길 수 있다.","제주 제주시 구좌읍 김녕항1길 50-11 - 내비게이션에 ‘김녕항 수산문화복합센터’ 입력 - 제주공항에서 27.5km 위치, 약 50분 소요",33.5581302,126.7402139,,"장애인 주차장 유무: 있음, 장애인 주차 대수: 1, 위치: 김녕항 수산문화복합센터 (제주 제주시 구좌읍 김녕항1길 50-11)","장애인 화장실: 있음, 구분: 남녀구분, 위치: 김녕항 해녀장터쉼터, 주변(대체)화장실: -",1. 주차장 → 2. 돌고래 다리 → 3. 해안로 → 4. 원담 용천수 → 5. 로즈마리 길 → 6. 아기해녀상(반환점),1. 주차장 → 2. 돌고래 다리 → 3. 해안로 → 4. 원담 용천수 → 5. 로즈마리 길 → 6. 아기해녀상(반환점) → 7. 도대불 쉼터 → 8. 전망대 → 9. 김녕 정원쉼터 → 10. 안내표지판 → 11. 등대,"봄, 여름, 가을, 겨울, ●, -, ●, -",연중무휴,없음,없음,없음,없음,"지적장애인: ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(수동): ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(전동): ●, 보행가능한 지체장애인: ●,  청각장애인: ●, 시각장애인: ●, 동행인 / 보호자 동반 추천",
난미밭담길,"‘난미’는 ‘난야리’, ‘난뫼’와 함께 난산리를 불렀던 옛 명칭으로 난산리는 토질이 비옥하여 농업을 주업으로 삼았기 때문에 옛 밭담의 풍경을 잘 간직하고 있는 마을이다. 난미밭담길은 잘 보존된 옛 밭담을 감상하고 그 정취를 느낄 수 있는 코스이다.","제주 서귀포시 성산읍 난산로41번길 39-7 - 내비게이션 ‘다란카페’ 입력 - 제주공항에서 42.7km 위치, 약 1시간 8분 소요",33.3985695,126.8684726,,"장애인 주차장 유무: 없음, 장애인 주차 대수: -, 위치: 다란카페 (제주 서귀포시 성산읍 난산로41번길 39-7)","장애인 화장실: 없음, 구분: -, 위치: -, 주변(대체)화장실: 신산청소년문화의집 (제주 서귀포시 성산읍 신천리 1)",주차장 (난산 셀프휴게소(다란카페)) → 2. 서당골길 → 3. 난산리 다방(카페) 앞 삼거리 → 4.  밭담길 이정표를 따라 산책 → 5. 난산 셀프휴게소,1. 주차장 (난산 셀프휴게소(다란카페)) → 2. 서당골길 → 3. 난산리 다방(카페) → 4.  삼거리 밭담길 이정표를 따라 산책 → 5. 면의모루 →  6. 난산리 큰집 민박 → 7. 난산 보건진료소 → 8. 다담 카페& 게스트하우스 → 9. 난산리사무소 정류장 → 10. 난산 셀프휴게소,"봄, 여름, 가을, 겨울, ●, ●, ●, ●",연중무휴,없음,없음,없음,없음,"지적장애인: ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(수동): ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(전동): ●, 보행가능한 지체장애인: ●,  청각장애인: ●, 시각장애인: ●, 동행인 / 보호자 동반 추천",
농업생태원,"서귀포 농업기술센터는 감귤 생산기술 농업기술, 감귤, 아열대과수, 채소, 화훼, 식량, 특용작물 등을 연구하고 감귤 농업인을 지원하는 곳이며, 감귤홍보전시관, 금물과원, 감귤품종 전시홍보관, 감귤 숲길, 녹차원, 제다원, 미로원, 감귤따기 체험장 등이 있다.","제주 서귀포시 남원읍 중산간동로 7415 - 내비게이션 ‘서귀포농업기술센터’ 입력 - 제주공항 38.3km 위치, 약 56분 소요",33.288095,126.60703,,"장애인 주차장 유무: 있음, 장애인 주차 대수: 4, 위치: 농업기술센터 전기차충전소 (제주 서귀포시 남원읍 하례리 1558)","장애인 화장실: 있음, 구분: 남녀구분, 위치: 천연염색 야외 체험장 맞은편 야외 화장실 (제주 서귀포시 남원읍 중산간동로 7433-23), 주변(대체)화장실: -",1. 주차장. → 2. 제주 농업생태원 입구. → 3. 금물과원. → 4. 감귤품종전시온실 5. 감귤숲길. → 6. 아열대 하우스. → 7. LOVE 포토스팟. → 8. 천연염색체험장. → 9. 천연염색야외염색장. → 10. 제다원. → 11. 종합전시포. → 12. 분수대. → 13. 감귤홍보관,1. 주차장. → 2. 제주 농업생태원 입구. → 3. 금물과원. → 4. 감귤품종전시온실 5. 감귤숲길. → 6. 아열대 하우스. → 7. LOVE 포토스팟. → 8. 천연염색체험장. → 9. 천연염색야외염색장. → 10. 미로공원. → 11. 제다원. → 12. 전국의 돌전시장. → 13. 감귤따기 체험장. → 14. 잔디광장. → 15. 돌하루방 포토스팟. → 16. 생태늪. → 17. 종합전시포. → 18. 분수대. → 19. 감귤홍보관.,"봄, 여름, 가을, 겨울, ●, ●, ●, ●","입장마감시간: 16:00, 점심시간 12:00 ~ 13:00",없음,없음,없음,있음,"지적장애인: ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(수동): ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(전동): ●, 보행가능한 지체장애인: ●,  청각장애인: ●, 시각장애인: ●, 동행인 / 보호자 동반 추천",
대문없는 마을 상명 정낭마을,"행정안전부 지정의 정보화 마을로 최근 주목받고 있는 상명 정낭마을에서는 ‘제주 속의 제주’를 느낄 수 있다. 대문이 없는 마을로 제주의 옛 정취를 느낄 수 있고, 곳곳의 마을 벽화와 주변 오름과 풍차가 보이는 마을길 산책로는 여행의 추억거리가 될 것이다. 뿐만 아니라 주말 체험 여행으로 오름 체험, 농장 체험, 레포츠 체험이 가능하다.","제주 제주시 한림읍 상한로 4 - 내비게이션에 ‘상명정낭 문화공간’ 입력 - 제주공항에서 34.4km 위치, 약 44분 소요",33.3579583,126.2741947,,"장애인 주차장 유무: 없음, 장애인 주차 대수: -, 위치: 상명정낭 문화공간","장애인 화장실: , 구분: , 위치: , 주변(대체)화장실: ","1. 주차장(상명정낭문화공간) → 2. 꽃길(비닐하우스, 담벼락위 다육이들) → 3. 원철오빠와 정선이 벽화 → 4.정자 쉼터 → 5.정낭(제주 전통 올레) → 6.주차장(상명정낭문화공간)","1. 주차장(상명정낭문화공간) → 2. 꽃길(비닐하우스, 담벼락위 다육이들) → 3. 원철오빠와 정선이 벽화 → 4.정자 쉼터 → 5.정낭(제주 전통 올레) → 6.포제단 → 7.주차장(상명정낭문화공간)","봄, 여름, 가을, 겨울, ●, -, ●, ●",연중무휴,없음,없음,없음,없음,"지적장애인: ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(수동): ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(전동): ●, 보행가능한 지체장애인: ●,  청각장애인: ●, 시각장애인: ●, 동행인 / 보호자 동반 추천",
도두봉공원 산책로,"도두봉은 제주공항 북쪽 도두동 해안가에 위치해 있으며, 비교적 자그마한 오름이지만 동백나무로 드리운 해안 산책로를 거닐며 도두항과 주변 바다의 풍경을 관람할 수 있다. 또한, 바다 위 조랑말 모형의 쌍둥이 등대와 함께 일몰이나 일출 명소로 손꼽히고 있다. ","제주 제주시 도두일동 산2 도두봉공원 - 내비게이션에 ‘제주시 서해안로 228’ 입력후 맞은편 주차장 이용 - 제주공항에서 5.5m 위치, 약 10분 소요",33.508095,126.468593,,"장애인 주차장 유무: 없음, 장애인 주차 대수: -, 위치: 도두동 입구 공터 주차장 (제주 제주시 서해안로 228 맞은편)","장애인 화장실: 있음, 구분: 남녀구분, 위치: 도두봉섬머리공중화장실 (제주 제주시 서해안로 197), 주변(대체)화장실: -",1.주차장 → 2. 도두봉 산책로 → 3. 전망대 → 4.도두봉산책로-체력단련장 → 5. 장안사 → 6. 주차장,1.주차장 → 2. 도두봉 산책로 → 3. 전망대 → 4.도두봉산책로-체력단련장 → 5. 장안사 → 6. 진지동굴 → 7. 주차장,"봄, 여름, 가을, 겨울, ●, ●, ●, ●",연중무휴,없음,없음,없음,없음,"지적장애인: ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(수동): ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(전동): ●, 보행가능한 지체장애인: ●, 동행인 / 보호자 동반 추천, 청각장애인: ●, 시각장애인: ●",
도두추억애거리 & 도두등대,제주올레길 17코스가 지나가는 곳으로 도두항 부근에서 시작하여 방파제를 따라 해안 길을 걸으며 바다를 감상할 수 있고 부두와 등대 그리고 길 중간중간 친근한 조형물이 배치되어 사진을 찍기 좋은 곳이다.,"제주 제주시 도두1동 추억애거리 - 내비게이션에 ‘제주시 도두일동 2630’ 입력 - 제주공항에서 5.2km 위치, 약 10분 소요",33.5104135,126.4913534,,"장애인 주차장 유무: 유, 장애인 주차 대수: 2, 위치: 제주 제주시 도두일동 2630","장애인 화장실: 유, 구분: 남녀공용, 위치: 오래물 광장 주차장 안 (서해안로 170), 주변(대체)화장실: -",1. 장애인 주차장 → 2. 무지개 거리 → 3. 도두항교 → 4. 도두항 유람선 선착장 → 5. 도두 방파제 → 6. 추억애거리,1. 장애인 주차장 → 2. 무지개 거리 → 3. 도두항교 → 4. 도두항 유람선 선착장 → 5. 도두 방파제 → 6. 추억애거리,"봄, 여름, 가을, 겨울, ●, ●, ●, ●",연중무휴,없음,없음,없음,없음,"지적장애인: ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(수동): ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(전동): ●, 보행가능한 지체장애인: ●,  청각장애인: ●, 시각장애인: ●, 동행인 / 보호자 동반 추천",
돔베낭골 (올레7코스),"제주 앞바다의 여러 섬들을 구경할 수 있는 돔베낭골에서는 반짝거리는 바다와 섬의 경치가 좋고, 초록빛의 나무들이 길 양쪽을 감싸고 있다. 적당한 폭의 도면 상태가 좋은 판석길로 이루어져 있어 부담없이 산책하기 좋은 코스이다.","제주 서귀포시 태평로92번길 49 - 네비게이션 ‘돔베낭골 노외공영주차장’으로 안내 - 제주공항에서 49.8km 위치, 약 1시간 7분 소요",33.239982,126.5318596,,"장애인 주차장 유무: 있음, 장애인 주차 대수: 3면, 위치: 돔베낭골 노외공영주차장 (제주 서귀포시 태평로92번길 49)","장애인 화장실: 있음, 구분: 남녀구분, 위치: 돔베낭골 노외공영주차장 화장실 (제주 서귀포시 태평로92번길 49), 주변(대체)화장실: -",1. 주차장 → 2. 돔베낭골 산책로( 올레7코스 휠체어 구간 410m),1. 주차장 → 2. 돔베낭골 산책로( 올레7코스 휠체어 구간 410m) → 3. 돔베낭골 산책로(올레7코스 일반 구간 260m),"봄, 여름, 가을, 겨울, ●, ●, ●, ●",연중무휴,없음,없음,없음,없음,"지적장애인: ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(수동): ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(전동): ●, 보행가능한 지체장애인: ●, 청각장애인: ●, 시각장애인: ●, 동행인 / 보호자 동반 추천",
동광마을길,"동광마을 탐방길은 동광분교에서 시작하여 물고기 모양으로 탐방할 수 있으며, 조용히 제주의 정취를 느끼기에 좋고 마을 길 곳곳에 계절에 따라 다른 꽃들을 보며 걸을 수 있는 시골길이다.","제주 서귀포시 안덕면 동광로 107 - 내비게이션에 ‘서광초등학교 동광분교장’ 입력 - 제주공항에서 28.8km 위치, 약 36분 소요",33.2883466,126.3263745,,"장애인 주차장 유무: 없음, 장애인 주차 대수: -, 위치: 서광초등학교 동광분교장 (제주 서귀포시 안덕면 동광로 107)","장애인 화장실: -, 구분: -, 위치: -, 주변(대체)화장실: 오설록 티 뮤지엄 (제주 서귀포시 안덕면 신화역사로 15)",1. 주차장 → 2. 팽나무 쉼터 1 → 3. 팽나무 쉼터 2 → 4. 팽나무 쉼터 3 → 5. 하루를 품다 포토스팟 → 6. 물방에 → 7. 주차장,1. 주차장 → 2. 팽나무 쉼터 1 → 3. 팽나무 쉼터 2 → 4. 팽나무 쉼터 3 → 5. 하루를 품다 포토스팟 → 6. 물방에 → 7. 주차장,"봄, 여름, 가을, 겨울, ●, -, ●, -",연중무휴,없음,없음,없음,없음,"지적장애인: ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(수동): ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(전동): ●, 보행 가능한 지체장애인: ●, 청각장애인: ●, 시각장애인: ●, 동행인 / 보호자 동반 추천",
