명소 이름,개요,주소,Latitude,Longitude,문의,주차장,화장실,추천코스,전체코스,추천계절,휴무일,관람료,보조기기 대여,편의/부대시설,해설사,추천 대상,이동약자를 위한 안내
두맹이 골목,"골목 곳곳에 공공 미술 프로젝트 사업의 일환으로 그려진 제주를 주제로 한 다양한 벽화들을 감상할 수 있는 곳이며, 다양한 벽화만큼이나 다양한 조형물을 배경으로 사진 찍기 좋은 곳이다. 바닥에 숫자가 씌여진 길이 있어서 누구나 쉽게 벽화를 감상하며 제주의 골목길의 정취를 느끼고 추억할 수 있는 곳이다. ","제주 제주시 동문로 14길 13-10 - 네비게이션에 ‘중앙병원 남서측 공영주차장’ 검색 - 제주공항에서 5.1km 위치, 약 14분 소요",33.512314,126.5338693,,"장애인 주차장 유무: 없음, 장애인 주차 대수: -, 위치: 중앙병원 남서측 공영주차장","장애인 화장실: 없음, 구분: -, 위치: -, 주변(대체)화장실: 사라봉 다목적체육관 1층 장애인 화장실",1. 주차장 →  2. 두맹이 3번 골목 →  3. 두맹이 4번 골목 →  4. 두맹이 5번 골목 →  5. 두맹이 6번 골목 →  6. 두맹이 7번 골목 →  7. 두맹이 8번 골목 →  8. 두맹이 9번 골목 →  9. 두맹이 10번 골목 →  10. 두맹이 11번 골목 →  11. 두맹이 12번 골목  →  12. 두맹이 13번 골목,1. 주차장 →  2. 두맹이 3번 골목 →  3. 두맹이 4번 골목 →  4. 두맹이 5번 골목 →  5. 두맹이 6번 골목 →  6. 두맹이 7번 골목 →  7. 두맹이 8번 골목 →  8. 두맹이 9번 골목 →  9. 두맹이 10번 골목 →  10. 두맹이 11번 골목 →  11. 두맹이 12번 골목  →  12. 두맹이 13번 골목 →  13. 두맹이 비밀정원,"봄, 여름, 가을, 겨울, ●, ●, ●, ●",연중무휴,없음,없음,없음,없음,"지적장애인: ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(수동): ●, 동행인 / 보호자 동반 추천, 휠체어, 휠체어 이용인(전동): , 보행 가능한 지체장애인: , 청각장애인: , 시각장애인: ",
무오법정사 항일운동 발상지,"무오 법정사 항일운동 발상지는 제주도 내 최초 그리고 최대의 항일운동 발상지로서 그 의의가 매우 큰 곳으로 현재 의열사와 상징탑 등이 만들어져 있고, 한라산 둘레길 및 탐방로와 연결되어 있다. 코스 초입 부분 약 180m/각도 4~11도의 오르막 경사가 있어 휠체어 이용인은 동행인의 이동지원이 필요하다.","제주 서귀포시 1100로 740-168 - 내비게이션 ‘무오법정사 항일운동발상지’ 입력 - 제주공항 41.8km 위치, 약 1시간 소요",33.3098899,126.4744626,,"장애인 주차장 유무: 없음, 장애인 주차 대수: -, 위치:  무오법정사 항일운동발상지 주차장 (제주 서귀포시 1100로 740-168)","장애인 화장실: 있음, 구분: 남녀구분, 위치: 무오 법정사 주차장 부근, 주변(대체)화장실: -",1. 주차장 → 2. 법정사 산책로 → 3. 전망대 → 4. 항일운동 기념비 → 5. 의열사(반환) → 6. 주차장,1. 주차장 → 2. 법정사 산책로 → 3. 전망대 → 4. 항일운동 기념비 → 5. 의열사(반환) → 6. 주차장,"봄, 여름, 가을, 겨울, ●, ●, ●, -",연중무휴,없음,없음,"동백길 안내센터, 흙먼지 털이기, 해충기피제 분사기",없음,"지적장애인: ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(수동): -, 휠체어 이용인(전동): ●, 동행인 / 보호자 동반 추천, 보행 가능한 지체장애인: , 청각장애인: ●, 시각장애인: ●, 동행인 / 보호자 동반 추천",
법화사,"법화사는 제주 천년의 역사 삼대사찰 중 하나로 임진왜란 당시 폐사 위기가 있었지만, 1941년 다시 창건되었고, 그 후 4˙3사건 때 소실되기를 반복하다가 1987년 대웅전 중창 불사를 기반으로 옛 모습을 되찾은 사찰이다. 대웅전과 마주하고 있는 3,000여 평의 규모의 구품연지와 배롱나무꽃이 환상적인 곳으로 마치 한 폭의 수채화를 보는듯한 최고의 풍경과 역사탐방을 같이 즐길 수 있다.","제주 서귀포시 하원북로 35번길 15-28 - 네비게이션 ‘법화사’ 입력 - 제주공항 42.4km 위치, 51분 소요",33.2651982,126.4577155,,"장애인 주차장 유무: 있음, 장애인 주차 대수: 4, 위치: 법화사","장애인 화장실: 없음, 구분: -, 위치: -, 주변(대체)화장실: 중문단지 축구장 (제주 서귀포시 대포동 2499)",1. 주차장 → 2.법화사 숲길 → 3.구품연지 → 4.대웅전,1. 주차장 → 2.법화사 숲길 → 3.법화사 입구 → 4.대웅전 → 5.구화루 → 6.구품연지,"봄, 여름, 가을, 겨울, ●, ●, ●, ●",연중무휴,없음,없음,없음,없음,"지적장애인: ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(수동): ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(전동): ●, 보행가능한 지체장애인: ●, 청각장애인: ●, 시각장애인: ●, 동행인 / 보호자 동반 추천",
사계마을과 형제해안로,"사계리의 해안과 형제섬, 마라도가 보이는 풍경을 즐길 수 있는 곳이다. 사계 어촌체험관에서는 해녀체험과 선상 낚시체험 등의 어촌체험프로그램을 진행하고 있다. 휠체어 올레길과 자전거도로가 마련되어 있어 다양한 여행객의 안전한 관광이 가능하다.","제주 서귀포시 안덕면 형제해안로 13  - 내비게이션에 ‘삼우사계요트클럽’ 입력 - 제주공항에서 39.3km 위치, 약 46분 소요",33.2281229,126.3062768,,"장애인 주차장 유무: 있음, 장애인 주차 대수: 2, 위치: 삼우사계요트클럽 앞","장애인 화장실: , 구분: , 위치: , 주변(대체)화장실: ",1. 장애인주차장 → 2. 사계 어촌체험관 → 3. 형제해안로 → 4. 산방산 포토스팟 → 5. 사계리 꿈드림 문화숲(꿈드림 무인 북카페) → 6. 산방산 뷰포인트,"1. 장애인주차장 → 2. 사계 어촌체험관 → 3. 포토스팟, 사계 어촌체험 마을 유료체험어장 → 4. 형제해안로 → 5. 산방산 포토스팟 → 6. 사계리 꿈드림 문화숲(꿈드림 무인 북카페) → 7. 산방산 뷰포인트","봄, 여름, 가을, 겨울, ●, ●, ●, -",연중무휴,없음,없음,없음,없음,"지적장애인: ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(수동): ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(전동): ●, 보행 가능한 지체장애인: ●, 청각장애인: ●, 시각장애인: ●, 동행인 / 보호자 동반 추천",
산방산과 하멜상선,"산방산은 한라산, 성산 일출봉과 함께 제주의 3대 산으로 불리는 산이다. 서남쪽 중턱에 있는 산실 굴에서 바라보는 해안 경관과 유채꽃이 만발한 봄의 경치가 뛰어나다. 산방산 바로 앞에 있는 용머리해안은 바닷속으로 들어가는 용의 머리를 닮았다고 해서 붙여진 이름으로, 유람선을 타고 주변 경치를 더욱 생생하게 감상할 수 있다. 하멜상선 전시관은 네덜란드인 하멜이 제주에 표류한 것과 관련된 자료를 전시하고 있으며, 하멜이 타고 온 스페르베르호를 모델로 외관을 재현하였다.","제주 서귀포시 안덕면 사계리 163-1 - 내비게이션에 ‘산방산 공영주차장’ 입력 - 제주공항에서 39km 위치, 약 58분 소요",33.2360913,126.3116642,,"장애인 주차장 유무: 있음, 장애인 주차 대수: 4, 위치: 산방산 공영주차장 (제주 서귀포시 안덕면 사계리 163-1)","장애인 화장실: 있음, 구분: 남녀구분, 위치: 기후변화홍보관 옆, 산방산랜드 앞, 주변(대체)화장실: -","1. 장애인주차장 → 2. 하멜상선전시관 → 3. 뷰포인트(바다) → 4. 기후변화홍보관 → 5. 제주도지질공원 탐방 안내소(시작지점) → 6. 쉼터(산방산 뷰) → 7. 뷰포인트(전망대), 전체 코스, 1. 장애인주차장 → 2. 하멜상선전시관 → 3. 뷰포인트(바다) → 4. 기후변화홍보관 → 5. 제주도지질공원 탐방 안내소(시작지점) → 6. 쉼터(산방산 뷰) → 7. 뷰포인트(전망대)",,"봄, 여름, 가을, 겨울, ●, -, ●, -",연중무휴,"유료(1,000~2,500 / 국가유공자, 노인, 장애인 무료)",없음,없음,없음,"지적장애인: ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(수동): ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(전동): ●, 보행 가능한 지체장애인: ●, 청각장애인: ●, 시각장애인: ",
산이물공원,"산이물공원(삼다도소식)에서의 비양도 뷰를 시작으로, 서산사와 돌담 방파제를 지나 넙빌레, 억새, 마라도 뷰 포인트를 만날 수 있다. 매월 1, 6일은 전통 재래시장인 대정오일시장이 열리는 날이다.","제주 서귀포시 대정읍 하모리 1097-1 - 내비게이션에 ‘산이물공원’ 입력 - 제주공항에서 42km 위치, 약 55분 소요",33.2210211,126.2468523,,"장애인 주차장 유무: 있음, 장애인 주차 대수: 5, 위치: 대정오일시장 주차장 (제주 서귀포시 대정읍 신영로36번길 65)","장애인 화장실: 있음, 구분: 남녀구분, 위치: 대정오일시장 주차장 화장실 (제주 서귀포시 대정읍 하모리 1089-40), 주변(대체)화장실: -","1. 대정오일시장 주차장  → 2. 산이물공원(삼다도소식) → 3. 산이물 → 4. 서산사 → 5. 넙빌레, 억새, 마라도 뷰 포인트 → 6. 야자수 포토스팟 → 7. 야생돌고래 탐사 체험 → 8. 동일 1리 안내도 → 9. 정자 쉼터 → 10. 동일리 방파제 끝(반환점)","1. 대정오일시장 주차장 → 2. 산이물공원(삼다도소식) → 3. 산이물 → 4. 서산사 → 5. 넙빌레, 억새, 마라도 뷰 포인트 → 6. 야자수 포토스팟 → 7. 야생돌고래 탐사 체험 → 8. 동일 1리 안내도 → 9. 정자 쉼터 → 10. 동일리 방파제 끝(반환점)","봄, 여름, 가을, 겨울, ●, ●, ●, ●",없음,없음,없음,없음,없음,"지적장애인: ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(수동): ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(전동): ●, 보행 가능한 지체장애인: ●, 청각장애인: ●, 시각장애인: ●, 동행인 / 보호자 동반 추천",
삼양 환해장성과 벌랑포구 해안길,"탁 트인 제주 바다와 아름다운 별도봉과 사라봉, 그리고 제주의 관문인 제주항을 한눈에 볼 수 있는 곳이며, 벌랑포구 해안 길을 걸으며 여유를 느낄 수 있고 용천수가 흘러나오는 새각시물도 만나 볼 수 있다.","제주 제주시 금산5길 48 - 내비게이션에 ‘제주 제주시 금산5길 48’ 입력 - 제주공항에서 9km 위치, 약 25분 소요",33.5268135,126.5637017,,"장애인 주차장 유무: 없음, 장애인 주차 대수: -, 위치: 화북 금산마을 해녀탈의장 옆 공터 주차장 (제주 제주시 금산5길 48)","장애인 화장실: 있음, 구분: -, 위치: 삼양3동 포구 앞 (제주 제주시 삼양삼동 2621-9), 주변(대체)화장실: -",1. 금산마을 해녀탈의장 → 2. 삼양 환해장성 → 3. 환해장성 시작 지점 → 4. 벌랑포구  → 5. 벌랑 새각시물 → 6. 방파제 끝 반환 → 7. 다회(둠뱅이교) → 8. 제주 sup 앞 반환점,1. 금산마을 해녀탈의장 → 2. 삼양 환해장성 → 3. 환해장성 시작 지점 → 4. 벌랑포구  → 5. 벌랑 새각시물 → 6. 방파제 끝 반환 → 7. 다회(둠뱅이교) → 8. 제주 sup 앞 반환점,"봄, 여름, 가을, 겨울, ●, ●, ●, ●",연중무휴,없음,없음,없음,없음,"지적장애인: ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(수동): ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(전동): ●, 보행가능한 지체장애인: ●, 청각장애인: ●, 시각장애인: ●, 동행인 / 보호자 동반 추천",
상가리 퐁낭 마을길,"천 년이라는 제주도 최고 수명을 지닌 팽나무를 중심으로 팽나무 군락과 귤밭을 보며 관광지답지 않은 제주 본연의 마을 모습을 즐길 수 있으며, 비교적 평탄한 바닥과 길지 않은 코스로 휠체어 이용 시에도 편하게 즐길 수 있다.","제주 제주시 애월읍 상가리 1666 - 내비게이션에 ‘상가리 마을회관’ 입력 - 제주공항에서 17.4km 위치, 약 30분 소요",33.4102243,126.3758566,,"장애인 주차장 유무: 유, 장애인 주차 대수: 1, 위치: 상가리 마을회관 주차장 (제주 제주시 애월읍 상가리 1666)","장애인 화장실: 없음, 구분: -, 위치: -, 주변(대체)화장실: 하가리 연화못 화장실 (제주시 애월읍 하가리 1569-5)","1. 상가리 마을회관 주차장 →  2. 퐁낭(팽나무) 쉼터  → 3. 동백길 → 4. 퐁낭, 양천교회 → 5. 감귤밭 → 6. 퐁낭 → 7. 팽나무(보호수) → 8. 담벼락 시계초","1. 상가리 마을회관 주차장 →  2. 퐁낭(팽나무) 쉼터  → 3. 동백길 → 4. 퐁낭, 양천교회 → 5. 감귤밭 → 6. 퐁낭 → 7. 팽나무(보호수) → 8. 담벼락 시계초","봄, 여름, 가을, 겨울, ●, ●, ●, ●",연중무휴,없음,없음,없음,없음,"지적장애인: ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(수동): ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(전동): ●, 보행가능한 지체장애인: ●, 청각장애인: ●, 시각장애인: ●, 동행인 / 보호자 동반 추천",
상가리 퐁낭 마을길,"천 년이라는 제주도 최고 수명을 지닌 팽나무를 중심으로 팽나무 군락과 귤밭을 보며 관광지답지 않은 제주 본연의 마을 모습을 즐길 수 있으며, 비교적 평탄한 바닥과 길지 않은 코스로 휠체어 이용 시에도 편하게 즐길 수 있다.","제주 제주시 애월읍 상가리 1666 - 내비게이션에 ‘상가리 마을회관’ 입력 - 제주공항에서 17.4km 위치, 약 30분 소요",33.4102243,126.3758566,,"장애인 주차장 유무: 유, 장애인 주차 대수: 1, 위치: 상가리 마을회관 주차장 (제주 제주시 애월읍 상가리 1666)","장애인 화장실: 없음, 구분: -, 위치: -, 주변(대체)화장실: 하가리 연화못 화장실 (제주시 애월읍 하가리 1569-5)","1. 상가리 마을회관 주차장 →  2. 퐁낭(팽나무) 쉼터  → 3. 동백길 → 4. 퐁낭, 양천교회 → 5. 감귤밭 → 6. 퐁낭 → 7. 팽나무(보호수) → 8. 담벼락 시계초","1. 상가리 마을회관 주차장 →  2. 퐁낭(팽나무) 쉼터  → 3. 동백길 → 4. 퐁낭, 양천교회 → 5. 감귤밭 → 6. 퐁낭 → 7. 팽나무(보호수) → 8. 담벼락 시계초","봄, 여름, 가을, 겨울, ●, ●, ●, ●",연중무휴,없음,없음,없음,없음,"지적장애인: ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(수동): ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(전동): ●, 보행가능한 지체장애인: ●, 청각장애인: ●, 시각장애인: ●, 동행인 / 보호자 동반 추천",
선흘리 동백마을,"세계 자연유산마을, 범죄 없는 마을, 습지를 품은 마을 등 다양한 수식어가 붙을 정도로 마을 자체가 평화롭고 아름다우며 집집마다 대문이 없거나 열여있기 때문에 제주도 로컬 주민들의 삶을 간접적으로 느낄 수 있다. 또한, 길 곳곳에 봉선화와 동백나무는 마을 길의 아름다움을 한층 더해 준다.","제주 제주시 조천읍 선흘동1길 10(선흘 1리 보건진료소) - 내비게이션에 ‘선흘 1리 보건 진료소’ 입력 - 제주공항에서 25km 위치, 약 50분 소요",33.5124039,126.7051542,,"장애인 주차장 유무: 없음, 장애인 주차 대수: -, 위치: 선흘1리 보건진료소 옆 공터","장애인 화장실: 없음, 구분: -, 위치: -, 주변(대체)화장실: 동백동산(습지센터 주차장) 화장실",1.주차장→ 2.도구리 영농조합법인 제주전통식품체험관→3.감귤밭 돌담길→4.함덕 초등학교 선흘 분교→5.제주도예→6.선흘리 마을길→7.종료지점,1.주차장→ 2.도구리 영농조합법인 제주전통식품체험관→3.감귤밭 돌담길→4.함덕 초등학교 선흘 분교→5.제주도예→6.선흘리 마을길→7.종료지점,"봄, 여름, 가을, 겨울, ●, ●, ●, ●",연중무휴,없음,없음,없음,있음,"지적장애인: ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(수동): ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(전동): ●, 보행가능한 지체장애인: ●, 청각장애인: ●, 시각장애인: ●, 동행인 / 보호자 동반 추천",
세천포구,세천포구에서 보는 일몰은 제주도 어디에 내놓아도 뒤지지 않을 것 같이 아름답다. 바닥까지 훤히 들여다보이는 깨끗한 바다를 보면 여기가 바로 청정지역이지 싶다. 높은 산이 없는 평탄한 지형으로 이루어져 있고 풍부한 해산물이 가득한 지귀도의 모습도 함께 감상할 수 있다.,"제주 서귀포시 남원읍 태위로360번길 192 - 내비게이션 ‘세천포구’ 입력 - 제주공항에서 47.7km 위치, 약 1시간 15분 소요",33.2688666,126.6743472,,"장애인 주차장 유무: 없음, 장애인 주차 대수: -, 위치: 세천포구 넓은 공터 (제주 서귀포시 남원읍 태위로360번길 192)","장애인 화장실: 없음, 구분: -, 위치: -, 주변(대체)화장실: 위미 문화의집 (제주 서귀포시 남원읍 태위로 105)",1. 세천포구 공터 주차장 → 2. 돌담 방파제 → 3. 해안 포토스팟 → 4. 해안 길→ 5. 국립수산과학원 앞 차량통행 금지 표지판에서 반환,1. 세천포구 공터 주차장 → 2. 돌담 방파제 → 3. 해안 포토스팟 → 4. 해안 길→ 5. 국립수산과학원 앞 차량통행 금지 표지판에서 반환,"봄, 여름, 가을, 겨울, ●, ●, ●, ●",연중무휴,없음,없음,없음,없음,"지적장애인: ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(수동): ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(전동): ●, 보행 가능한 지체장애인: ●, 청각장애인: ●, 시각장애인: ●, 동행인 / 보호자 동반 추천",
수산저수지와 물메둑길,"햇살에 잔잔하게 반짝이는 수산저수지와 그 저수지를 품은 수산봉을 볼 수 있는 곳으로 마을 탐방로에는 물메밭담길이 있다. 그 길을 따라 걷다 보면 마을의 아름다운 비경들과 시들이 전시되어 있는 돌을 마주할 수 있다. 또한, 400연 년 전 수산리가 생길 때 당시 뜰 안에 심었다고 전해지는 마을의 수호 목인 천연기념물 제441호인 곰솔도 함께 볼 수 있는 코스이다.","제주 제주시 제주시 애월읍 수산리 738 - 내비게이션 ‘수산 저수지 입구’ 입력 - 제주공항 13.9km 위치, 약 28분 소요",33.5104135,126.4913534,,"장애인 주차장 유무: 없음, 장애인 주차 대수: -, 위치: 수산저수지 입구 주차장 (제주 제주시 애월읍 수산리 738)","장애인 화장실: -, 구분: -, 위치: -, 주변(대체)화장실: 하가못 화장실 (제주 제주시 애월읍 하가리 1569-2)",1. 주차장 → 2. 물메 밭담길 산책로 → 3. 수산 저수지 산책로 → 4. 물메 둑길 앞(반환)→ 5.주차장,1. 주차장 → 2. 수산봉 산책로(그네 포토스팟) → 3. 물메 밭담길 산책로 → 4. 수산 저수지 산책로 → 5. 물메둑길 → 6. 수산 곰솔길 → 7. 주차장,"봄, 여름, 가을, 겨울, ●, ●, ●, ●",연중무휴,없음,없음,없음,있음,"지적장애인: ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(수동): ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(전동): ●, 보행가능한 지체장애인: ●, 청각장애인: ●, 시각장애인: ●, 동행인 / 보호자 동반 추천",
수원리 해안 탐방로,"해안길을 따라 펼쳐진 해안담과 벽화담에서 제주의 옛 느낌을 느끼고, 제주의 풍경과 제주 바다를 표현한 벽화를 보며 한적하게 산책할 수 있다. 반듯하게 정리된 수원의 밭길은 계획된 도시와 같은 느낌을 주며, 주변에 높은 건물이 드물어서 비양도와 한라산을 동시에 볼 수 있는 지점이다.","제주 제주시 한림읍 수원리 239-7 - 내비게이션에 ‘제주 제주시 한림읍 수원리 239-7’ 입력 - 제주공항에서 25.2km 위치, 약 37분 소요",33.4372869,126.2709567,,"장애인 주차장 유무: 없음, 장애인 주차 대수: -, 위치: 제주 제주시 한림읍 수원리 239-7","장애인 화장실: -, 구분: -, 위치: -, 주변(대체)화장실: 대수포구 올레바당 체험마을 클린 화장실",1. 용운해녀 탈의장(주차장) → 2. 용운동항 서방파제 등대 → 3. 환해장성 → 4. 환해 장성길 → 5. 구룡 소공원,1. 용운해녀 탈의장(주차장) → 2. 용운동항 서방파제 등대 → 3. 환해장성 → 4. 환해 장성길 → 5. 구룡 소공원,"봄, 여름, 가을, 겨울, ●, ●, ●, ●",연중무휴,없음,없음,없음,없음,"지적장애인: ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(수동): ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(전동): ●, 보행가능한 지체장애인: ●, 청각장애인: ●, 시각장애인: ●, 동행인 / 보호자 동반 추천",
신천목장 산책길,"한적한 목장 산책길을 따라 탁 트인 성산 바다 뷰를 감상할 수 있는 곳으로 특히 겨울철 목장 부지에서는 귤피를 말리는 이색적인 풍경을 마주할 수 있는 곳이다.  향긋한 귤피 향과 시원하게 불어오는 바닷바람, 바다 풍경이 일품이다.","제주 서귀포시 성산읍 신천리 1 - 내비게이션 ‘카페물썹’ 입력(카페 옆 공터주차장) - 제주공항에서 48.4km 위치, 약 1시간 10분 소요",33.3564125,126.8680669,,"장애인 주차장 유무: 없음, 장애인 주차 대수: -, 위치: 카페물썹 앞 공터 주차장 (제주 서귀포시 성산읍 신천동로 130-29)","장애인 화장실: 없음, 구분: -, 위치: -, 주변(대체)화장실: 표선해수욕장 주차장 화장실 (제주 서귀포시 표선면 표선리 44-4)","카페물썹 공터 주차장-,  카페 옆 올레길 3-B 출입구 -,  신천목장 산책길 -,  올레길 3-A 출입구","카페물썹 공터 주차장-,  카페 옆 올레길 3-B 출입구 -,  신천목장 산책길 -,  올레길 3-A 출입구-,  목장 밭담길 -,  신천목장 입구","봄, 여름, 가을, 겨울, ●, ●, ●, ●",연중무휴,없음,없음,없음,없음,"지적장애인: ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(수동): ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(전동): , 보행 가능한 지체장애인: , 청각장애인: , 시각장애인: ",
신흥리 무지개길,아름다고 얕아서 어린이들도 놀기 좋은 신흥해수욕장 쪽 바다뷰와 야자수들이 조화롭게 어울려 제주도 안에 작은 해외에 있는 듯한 이국적인 느낌을 즐길 수 있는 장소이다. 또한 신흥리 복지회관 쪽 신흥무지개다리는 떠오르는 포토스팟으로 인생샷을 건지기에 충분하다.,"제주 제주시 조천읍 신흥리 530-13 - 내비게이션에 ‘제주시 조천읍 신흥리 530-13’ 입력 - 제주공항에서 18.6km 위치, 약 45분 소요",33.5485887,126.6505164,,"장애인 주차장 유무: 있음, 장애인 주차 대수: 7대, 위치: 조천읍 무료공영주차장 (제주 제주시 신흥리 530-13)","장애인 화장실: 없음, 구분: -, 위치: -, 주변(대체)화장실: 신흥리 해수욕장 화장실 (제주 제주시 조천읍 조함해안로 273-35)",1. 주차장 → 2. 정자 쉼터 → 3. 무지개 길(반환)  → 5. 정자쉼터 → 6. 해안로 입구 7. 국제리더스클럽(Y카페) → 8. 종료지점(반환점),1. 주차장 → 2. 정자 쉼터 → 3. 무지개 길  → 4. 쇠물깍 산책로  → 5. 정자쉼터 → 6. 해안로 입구 7. 국제리더스클럽(Y카페) → 8. 종료지점(반환점),"봄, 여름, 가을, 겨울, ●, ●, ●, ●",연중무휴,없음,없음,없음,있음,"지적장애인: ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(수동): ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(전동): ●, 보행가능한 지체장애인: ●, 청각장애인: ●, 시각장애인: ●, 동행인 / 보호자 동반 추천, 시니어",
