명소 이름,개요,주소,Latitude,Longitude,문의,주차장,화장실,추천코스,전체코스,추천계절,휴무일,관람료,보조기기 대여,편의/부대시설,해설사,추천 대상,이동약자를 위한 안내
신흥리방파제와 환해장성,"신흥리 해수욕장은 하얀 모래사장과 에메랄드 빛 바다에 제주 검은색 현무암으로 만든 방사탑이 곳곳에 서있다. 설촌된지 100년이 되는 신흥리는 예로부터 바다가 아름다운 마을로 알려져 있다. 또한, 오랜 역사에도 여전히 자리 하는 환해장성을 볼 수 있다.","제주 제주시 조천읍 신흥리 신흥해수욕장 - 내비게이션에 ‘신흥리 해수욕장’ 입력 - 제주공항에서 19km 위치, 약 45분 소요",33.551768,126.6487847,,"장애인 주차장 유무: 있음, 장애인 주차 대수: 1대, 위치: 신흥리 해수욕장 (제주 제주시 조천읍 조함해안로 273-35)","장애인 화장실: 있음, 구분: 남녀 구분, 위치: 신흥리 해수욕장 화장실 (제주 제주시 조천읍 조함해안로 273-35), 주변(대체)화장실: -",1. 주차장 → 2. 신흥리 해안 산책길 → 3. 바닷속 해녀상  → 4. 방파제길(반환)  → 5.환해장성 산책길→ 6. 환해장성(반환점),1. 주차장 → 2. 신흥리 해안 산책길 → 3. 바닷속 해녀상→ 4. 방파제길(반환) → 5. 환해장성 산책길 →6. 환해장성→ 7. 등대(반환점),"봄, 여름, 가을, 겨울, ●, ●, ●, ●",연중무휴,없음,없음,없음,있음,"지적장애인: ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(수동): ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(전동): ●, 보행가능한 지체장애인: ●, 청각장애인: ●, 시각장애인: ●, 동행인 / 보호자 동반 추천",
어영소공원~용두암(비행기 이착륙 포토스팟),"어영마을 해안도로를 따라 만들어진 어영소공원의 동서 길이는 약 400m이며, 어린이 놀이터, 야간 조명 시설, 벤치 등이 있다. 해안에는 현무암으로 이루어진 파식대가 있으며 공원 맞은편에는 카페, 레스토랑, 식당들이 집중되어 있다. 제주 올레 17코스 도중에 자리한 공원으로 올레꾼들의 많이 찾는 장소이다.","제주 제주시 용담삼동 1071 - 내비게이션 ‘용담레포츠공원 주차장)’ 입력 - 제주공항에서 3.8km 위치, 약 8분 소요",33.5176696,126.4997858,,"장애인 주차장 유무: 있음, 장애인 주차 대수: 2, 위치: 용담레포츠공원 주차장 (제주 제주시 용담삼동 1071)","장애인 화장실: 있음, 구분: 남녀구분, 위치: 레포츠공원 화장실 1층, 주변(대체)화장실: -",1.애향의 동산 → 2.비행기 이착륙 포토스팟 → 3.말머리와 말머리물 → 4.말머리 소금빌레,1.어영레포츠공원 주차장 → 2.비행기 이착륙 포토스팟 → 3.애향의 동산 → 4.비행기 착륙 포토스팟 → 5.말머리와 말머리물 → 6.말머리 소금빌레,"봄, 여름, 가을, 겨울, ●, ●, ●, ●",연중무휴,없음,없음,없음,없음,"지적장애인: ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(수동): ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(전동): ●, 보행가능한 지체장애인: ●, 청각장애인: ●, 시각장애인: ",
연대포구와 외도포구 산책길,"포구들을 기점으로 타일 조각으로 제주의 풍경을 그려낸 타일벽화가 있는 산책로가 조성되어 있으며, 제주의 옛 물고기잡이 방법인 원담이 형성되어 있어 제주의 바다를 더 가까이 느낄 수 있다. 전체적인 코스의 노면은 잘 정비되어 있고, 평탄하여 접근성이 좋다.","제주 제주시 월대5길 6  - 내비게이션에 ‘탐앤탐스 외도점’ 입력(탐앤탐스 맞은편 공터 주차장) - 제주공항에서 7km 위치, 약 15분 소요",33.4945132,126.4355978,,"장애인 주차장 유무: 없음, 장애인 주차 대수: -, 위치: 탐앤탐스 외도점 맞은편 공터 주차장 (제주 제주시 월대5길 6)","장애인 화장실: 있음, 구분: 남녀구분, 위치: 연대포구 선착장 안 화장실 (제주 제주시 외도이동 1956-41), 주변(대체)화장실: -",1. 주차장 → 2. 해안벽화 → 3. 월대쉼터 → 4. 산책로 → 5. 해안 전망대 공터 → 6. 이정표 → 7. 전복 양식장 → 8. 연대포구 → 9. 연대포구 주차장,1. 주차장 → 2. 해안벽화 → 3. 월대쉼터 → 4. 산책로→ 5. 해안 전망대 공터 → 6. 이정표 → 7. 전복 양식장 → 8. 연대포구 → 9. 연대포구 주차장,"봄, 여름, 가을, 겨울, ●, ●, ●, ●",연중무휴,없음,없음,없음,없음,"지적장애인: ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(수동): ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(전동): ●, 보행가능한 지체장애인: ●, 청각장애인: ●, 시각장애인: ●, 동행인 / 보호자 동반 추천",
월대천(외도물길20리),"제주시 외도동에 위치한 월대천은 제주 바다와 한라산 계곡물이 만나는 제주의 숨은 명소이다. 공항과 가깝고 계단을 통해 이동하는 돌다리를 제외하면, 산책길 노면이 평평한 판석길로 되어 있어 버드나무와 월대천의 풍광과 함께 산책하기 좋은 곳이다.","제주 제주시 외도일동 559-1 - 내비게이션에 ‘외도구획정리지구 공영주차장’ 입력 - 제주공항에서 6.8km 위치, 약 14분 소요",33.4867397,126.4317617,,"장애인 주차장 유무: 있음, 장애인 주차 대수: 1, 위치: 외도구획정리지구 공영주차장 (제주 제주시 외도일동 559-1)","장애인 화장실: -, 구분: -, 위치: -, 주변(대체)화장실: 연대포구 선착장 안 화장실 (제주 제주시 외도이동 1956-41)","1.외도구획정리지구 공영주차장 → 2.월대천 입구 (외도물길 20리) → 3.보호수 → 4.징검다리 → 5.월대교 → 6.시가 있는 산책로 → 7.쉼터, view point → 8.징검다리","1.외도구획정리지구 공영주차장 → 2.월대천 입구 (외도물길 20리) → 3.보호수 → 4.징검다리 → 5.쉼터, view point → 6.시가 있는 산책로 → 7.월대교 → 8. 외도구획정리지구 공영주차장","봄, 여름, 가을, 겨울, ●, ●, ●, ●",연중무휴,없음,없음,없음,없음,"지적장애인: ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(수동): ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(전동): ●, 보행가능한 지체장애인: ●, 청각장애인: ●, 시각장애인: ●, 동행인 / 보호자 동반 추천",
월정리 진빌레 밭담길,"제주 밭담과 제주 농촌 문화와 환경을 경험할 수 있는 곳. 밭담 길이 바닷가와 인접해 있어, 코스를 걷는 동안 바다와 함께 어우러지는 밭담 길 전경을 감상할 수 있다.","제주 제주시 구좌읍 월정리 1400-33 - 내비게이션에 ‘제주 밭담 테마공원’ 입력 - 제주공항에서 32.1km 위치, 약 50분 소요",33.5629582,126.779381,,"장애인 주차장 유무: 유, 장애인 주차 대수: 2, 위치: 제주 제주시 구좌읍 월정리 1400-33","장애인 화장실: 유, 구분: 남녀구분, 위치: 제주 밭담테마공원 정보센터, 주변(대체)화장실: -",1. 주차장1 → 2. 월정리 투명카약 입구 → 3. 제주 밭담 테마 공원 → 4. 진빌레 밭담길 → 5. 주차장2,1. 주차장1 → 2. 월정리 투명카약 입구 → 3. 제주 밭담 테마 공원 → 4. 진빌레 밭담길 → 5. 주차장2,"봄, 여름, 가을, 겨울, ●, ●, ●, ●",연중무휴,없음,없음,없음,없음,"지적장애인: ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(수동): ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(전동): ●, 보행가능한 지체장애인: ●, 청각장애인: ●, 시각장애인: ●, 동행인 / 보호자 동반 추천",
위미 동백나무군락,"사철 푸른 동백과 많은 새가 찾아드는 남쪽의 정취를 느끼며 동백꽃의 아름다움을 감상할 수 있고, 여름에는 귤나무 농장에서 뿜어져 나오는 귤꽃 냄새를 맡을 수 있고 겨울에는 동백나무를 구경할 수 있다. 접근성이 좋아 휠체어 이용인 뿐만 아니라 유아차 등이 다니기 편리한 관광지이다.","제주 서귀포시 남원읍 위미중앙로 300번길 15 - 내비게이션에 ‘위미동백나무군락’ 입력 - 제주공항에서 50.8km 위치, 약 1시간 6분 소요",33.5104135,126.4913534,,"장애인 주차장 유무: 없음, 장애인 주차 대수: -, 위치: 대천교 (제주 서귀포시 남원읍 위미리)","장애인 화장실: -, 구분: -, 위치: -, 주변(대체)화장실: 위미문화의집 (제주 서귀포시 남원읍 태위로 105)",1. 대천교 옆 정자 주차장 → 2. 돌담길 → 3. 동백 그늘숲길 → 4. 제주올레 스탬프,1. 대천교 옆 정자 주차장 → 2. 돌담길 → 3. 동백 그늘숲길 → 4. 제주올레 스탬프,"봄, 여름, 가을, 겨울, ●, ●, ●, ●",연중무휴,없음,없음,없음,없음,"지적장애인: ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(수동): ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(전동): ●, 보행가능한 지체장애인: ●, 청각장애인: ●, 시각장애인: ●, 동행인 / 보호자 동반 추천",
이중섭 거리,"40세의 젊은 나이에 요절한 천재 화가 이중섭을 기리기 위해 피난 당시 거주했던 초가를 중심으로 조성된 거리로 1996년에 사업체가 창단하고 1997년 9월 복원된 장소이다. 주변에는 이중섭의 삽화가 들어간 기념품이나 각종 수공예품, 편집샵 등이 즐비해 있으며, 수제버거, 피쉬앤칩스 음식점 등 젊은이들에게 인기 있는 맛집도 어렵지 않게 찾아볼 수 있는 거리이다.","제주 서귀포시 서귀동 550 - 내비게이션에 ‘이중섭미술관 전용주차장’ 입력 - 제주공항에서 42.8km 위치, 약 1시간 6분 소요",33.2458403,126.56494,,"장애인 주차장 유무: 있음, 장애인 주차 대수: 2, 위치: 이중섭미술관 전용주차장 (제주 서귀포시 서귀동 550)","장애인 화장실: 있음, 구분: 남녀공용, 위치: 정방동주민센터 (제주 서귀포시 평로421번길 7), 주변(대체)화장실: -",1. 이중섭 미술관 전용 주차장 → 2. 작가의 산책길 종합안내소 → 3. 야외체험부스 → 4. 이중섭 미술관 → 5. 서귀포 극장,1. 이중섭 미술관 전용 주차장 → 2. 길 좌측 작가의 산책길 종합안내소 → 3. 야외체험부스 → 4. 이중섭 미술관 → 5. 서귀포 극장,"봄, 여름, 가을, 겨울, ●, ●, ●, ●","이중섭미술관 매주 월요일, 1월1일, 설날, 추석 휴무",1. 어른(25~64세) : 개인 1500원 단체 1000원 2. 청소년(13~24세) : 개인 800원 단체 500원 3. 어린이(7~12세): 개인 400원 단체 300원,-,-,작가의 산책길 문화해설가 (이중섭미술관 포함 다른 작가의 미술 작품도 볼 수 있다.),"지적장애인: ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(수동): ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(전동): ●, 보행가능한 지체장애인: ●, 청각장애인: , 시각장애인: ",
이호테우해수욕장과 내도동 알작지,"공항에서 가장 가까운 해수욕장으로 산책하기 좋은 코스이다.  또 한 사람이 붐비지 않아 한가로우면서 여유롭게 제주 바다를 구경할 수 있는 곳이다. 또 한 알작지해변에서 바라보는 노을의 모습이 아름다우며, 동그란 모양의 자갈들이 파도와 만나 아름다운 소리를 내는 곳이다. 해안 길 산책로가 아름다운 곳이다.","제주 제주시 이호일동 1654 - 내비게이션에 ‘이호테우 해수욕장 주차장’ 입력 - 제주공항에서 5.3km 위치, 약 10분 소요",33.496152,126.45522,,"장애인 주차장 유무: 있음, 장애인 주차 대수: 3, 위치: 이호테우 해수욕장 주차장 (제주 제주시 이호일동 1654)","장애인 화장실: 있음, 구분: 남녀구분, 위치: 내도마을포제단-(내도동 공중화장실) (제주 제주시 테우해안로 65), 주변(대체)화장실: -",1. 이호테우주차장 → 2. 제주관광해저레저센터 → 3. 정자 → 4. 판석길 산책로 시작 → 5. 용천수(동물) → 6. 현사포구 → 7. 해안산책로 → 8. 현사교 → 9. 내도마을포제단 → 10. 내도동 방사탑 → 11. 내도동 알작지 해변(알작지왓) → 12. 외도포구,1. 이호테우주차장 → 2. 제주관광해저레저센터 → 3. 정자 → 4. 판석길 산책로 시작 → 5. 용천수(동물) → 6. 현사포구 → 7. 해안산책로 → 8. 현사교 → 9. 내도마을포제단 → 10. 내도동 방사탑 → 11. 내도동 알작지 해변(알작지왓) → 12. 외도포구,"봄, 여름, 가을, 겨울, ●, ●, ●, ●",연중무휴,없음,없음,없음,없음,"지적장애인: ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(수동): ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(전동): ●, 보행가능한 지체장애인: ●, 청각장애인: ●, 시각장애인: ",
일과리 해안도로,"탁 트인 수평선을 보며 햇빛에 반짝이는 오션 뷰를 감상할 수 있는 곳으로, 돌고래 때를 만나기 위해 사람들이 찾는 곳이다. 해안 길을 따라 걷다 보면 곳곳에 다양한 뷰 포인트가 있어서 여유를 갖고 잠시 쉬어가며 걸을 수 있다. 또한 돌담길과 해안 길은 제주스러움을 느끼게 해준다. 또한 드라마 ‘도깨비’ 촬영지와 유사한 포토 스폿이 있으며, 자전거도로(통행 도로)가 넓어서 이동에도 편리하다.","제주 서귀포시 대정읍 전세비로 9 - 내비게이션에 ‘상하이 수산’ 입력 - 제주공항에서 46km 위치, 약 1시간 소요",33.2434275,126.2121228,,"장애인 주차장 유무: 없음, 장애인 주차 대수: -, 위치: 상하이 수산 건너편 주차장 (제주 서귀포시 대정읍 전세비로 9)","장애인 화장실: -, 구분: -, 위치: -, 주변(대체)화장실: 대정문화체육센터 ( 제주 서귀포시 대정읍 암반수마농로 419 )",1. 상하이 수산 건너편 주차장 → 2. 바다 뷰포인트 → 3. 바위 담벼락 시작 → 4. 돌고래 관람 포인트 / 돌고래 바위 그림 → 5. 주차장 / 나무 그네 쉼터 → 6. 향나무길 시작 → 7. 정자 쉼터 → 8. 향나무길 끝 → 9. 돌담길(우측) / 방제 기상관측장비 → 10. 방파제 입구 → 11. 방파제 끝(반환점),1. 상하이 수산 건너편 주차장 → 2. 바다 뷰포인트 → 3. 바위 담벼락 시작 → 4. 돌고래 관람 포인트 / 돌고래 바위 그림 → 5. 주차장 / 나무 그네 쉼터 → 6. 향나무길 시작 → 7. 정자 쉼터 → 8. 향나무길 끝 → 9. 돌담길(우측) / 방제 기상관측장비 → 10. 방파제 입구 → 11. 방파제 끝(반환점),"봄, 여름, 가을, 겨울, ●, ●, ●, ●",연중무휴,없음,없음,없음,없음,"지적장애인: ●, 휠체어 이용인(수동): , 휠체어 이용인(전동): , 보행 가능한 지체장애인: , 청각장애인: , 시각장애인: ",
제주 올레길 14코스(휠체어 구간) 금능리,"제주의 달과 같은 비양도를 전망하며, 아름다운 금능해수욕장을 볼 수 있는 바당올레길 코스로 아름다운 섬 비양도를 내내 눈에 담고 갈 수 있는 코스이다. ","제주 제주시 한림읍 금능리 2018  - 내비게이션 ‘금능 해수욕장 전기차충전소’ 입력 - 제주공항에서 31.4km 위치, 약 46분 소요",33.3898565,126.235364,,"장애인 주차장 유무: 있음, 장애인 주차 대수: 3대, 위치: 금능해수욕장 전기차충전소","장애인 화장실: 있음, 구분: 남녀 구분, 위치: 금능포구 화장실 (제주 제주시 한림읍 금능길 119-10), 주변(대체)화장실: -",1. 주차장 →  2. 금능해수욕장 → 3. 금능포구 → 4. 선인장 스팟 → 5. 방파제입구 → 6. 금능환해장성 → 제주올레길14코스 (휠체어구간),,"봄, 여름, 가을, 겨울, ●, ●, ●, ●",연중무휴,없음,없음,없음,없음,"지적장애인: ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(수동): ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(전동): ●, 보행가능한 지체장애인: ●, 청각장애인: ●, 시각장애인: ●, 동행인 / 보호자 동반 추천",
제주올레길 1코스(휠체어구간)종달리,"제주 올레길 1코스는 코스 내 구간별로 제주의 색들로 골고루 잘 입혀져 있다. 말미오름과 알오름의 오름, 종달리의 퐁낭투어길, 시흥리, 오조리 해안길 그리고 성산 일출봉과 광치기 해변길로 종결되는 테마가 있는 길들로 조합된 명품길인 것 같다. 길이 구불구불하여 우도와 성산일출봉이 번갈아 보이며, 해가 떠 있을 때도 장관이지만 해가 질 무렵에도 아름다운 하늘과 바다색을 뽐낸다.","제주 제주시 구좌읍 종달동길 3 종합복지회관 - 내비게이션에 ‘종달리사무소’ 입력 - 제주공항에서 44.1km 위치, 약 1시간 18분 소요",33.4926569,126.9005177,,"장애인 주차장 유무: 없음, 장애인 주차 대수: -, 위치: 종달리 사무소 (제주 제주시 구좌읍 종달동길 3 종합복지회관)","장애인 화장실: 없음, 구분: -, 위치: -, 주변(대체)화장실: 우도도항선 대합실 화장실 (제주시 구좌읍 해맞이해안로 2281)","1. 주차장 → 2. 퐁낭, 올레길 표지판 → 3. 올레길 스탬프 지점→ 4. 정자(반환점, 뷰포인트)","1. 주차장 → 2. 퐁낭, 올레길 표지판 → 3. 올레길 스탬프 지점→ 4. 정자(반환점, 뷰포인트)","봄, 여름, 가을, 겨울, ●, ●, ●, ●",연중무휴,없음,없음,없음,없음,"지적장애인: ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(수동): ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(전동): ●, 보행가능한 지체장애인: ●, 청각장애인: ●, 시각장애인: ●, 동행인 / 보호자 동반 추천",
종달항과 해안길,"아름다운 자연경관을 자랑하는 우도까지 약 10분 만에 도착하는 배를 탈 수 있는 종달항 부두의 방파제에서 바다와 함께 우도, 성산일출봉, 지미봉 뷰를 감상할 수 있고 해안도로를 걸으며 넓은 바다와 돈짓당, 왓불턱(해녀들이 옷을 갈아입고 바다로 들어갈 준비를 하는 곳)을 감상할 수 있다.","제주 제주시 구좌읍 종달리 484-10 - 내비게이션에 ‘종달항’ 입력 - 제주공항에서 46.9km 위치, 약 1시간 17분 소요",33.4965344,126.9114739,,"장애인 주차장 유무: 없음, 장애인 주차 대수: -, 위치: 종달항 (제주 제주시 구좌읍 종달리 484-10)","장애인 화장실: 있음, 구분: 남녀구분, 위치: 종달항 외부화장실, 주변(대체)화장실: 성산국민체육센터(차로 9분)",1. 주차장 → 2. 종달항 남 방파제 → 3. 종달항 동 방파제 → 4. 돈짓당 → 5. 왓불턱,1. 주차장 → 2. 종달항 남 방파제 → 3. 종달항 동 방파제 → 4. 돈짓당 → 5. 왓불턱 → 6. 종달리 전망대 (계단 26개),"봄, 여름, 가을, 겨울, ●, ●, ●, -",연중무휴,없음,없음,없음,없음,"지적장애인: ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(수동): ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(전동): ●, 보행가능한 지체장애인: ●, 청각장애인: ●, 시각장애인: ●, 동행인 / 보호자 동반 추천",
중문단지축구장과 대포연대,스노쿨링 동호인들 사이에서 알려진 스노쿨링하기 좋은 곳이자 화산섬의 청정해안을 볼 수 있는 숨은 비경이다. 대포연대 부근 산책로에서 뷰를 감상할 수 있고 낮과는 다르게 저녁 노을을 감상하기도 좋은 곳이다.,"제주 서귀포시 대포동 2499 - 내비게이션에 ‘중문단지축구장’ 입력 - 제주공항에서 42.2km 위치, 약 1시간 소요",33.2347653,126.4331858,,"장애인 주차장 유무: 없음, 장애인 주차 대수: -, 위치: 중문단지 축구장 (제주 서귀포시 대포동 2499)","장애인 화장실: 있음, 구분: 남녀공용, 위치: 중문단지 축구장, 주변(대체)화장실: -",1. 주차장 → 2. 마을공동어장  → 3. 스노클링 포인트 → 4. 대포연대 → 5. 산책로 → 6. 야자수길  → 7. 뷰포인트  → 8. 해녀 조형물 → 9. 야자수길,1. 주차장 → 2. 마을공동어장  → 3. 스노클링 포인트 → 4. 대포연대 → 5. 산책로 → 6. 야자수길  → 7. 뷰포인트  → 8. 해녀 조형물 → 9. 야자수길 →\u3000１０. 쉼터 → 11. 숲터널1 → 12. 숲터널2,"봄, 여름, 가을, 겨울, ●, ●, ●, ●",연중무휴,없음,없음,없음,없음,"지적장애인: ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(수동): ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(전동): ●, 보행가능한 지체장애인: ●, 청각장애인: ●, 시각장애인: ●, 동행인 / 보호자 동반 추천",
칠머리당터와 건입동 벽화거리,칠머리당은 음력 2월에 바다의 평온과 풍작 및 풍어를 기원하는 영등굿이 열렸던 장소이다. 건입동 벽화거리에는 제주를 상징하는 그림이 골목길 벽을 채우고 있어서 제주 현지의 골목 정취를 느끼기에 적당한 곳이다.,"제주 제주시 건입동 933 - 내비게이션에 ‘제주시 건입동 933’ 입력 - 제주공항에서 5.6km 위치, 약 19분 소요",33.5104135,126.4913534,,"장애인 주차장 유무: 있음, 장애인 주차 대수: 3, 위치: 칠머리당터 소공원 앞","장애인 화장실: 없음, 구분: -, 위치: -, 주변(대체)화장실: 사랑봉 다목적체육관 (제주 제주시 동문로 169)",1. 주차장 ⟶ 2. 칠머리당터 ⟶ 3. 건입동 벽화거리 ⟶ 4. 마을길,1. 주차장 ⟶ 2. 칠머리당터 ⟶ 3. 건입동 벽화거리 ⟶ 4. 마을길,"봄, 여름, 가을, 겨울, ●, -, ●, -",연중무휴,없음,없음,없음,없음,"지적장애인: ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(수동): ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(전동): ●, 보행가능한 지체장애인: ●, 청각장애인: ●, 시각장애인: ●, 동행인 / 보호자 동반 추천",
태흥2리 옥돔마을 포구길,"태흥1리와 태흥3리 사이에 있는 태흥2리 옥돔 마을은 수산자원이 풍부한 마을이다. 또 한 포구 산책길에는 마을에서 운영하는 카페와 야외 테이블이 있어, 바다를 바라보며 산책을 하고 커피 한잔을 즐길 수 있는 고즈넉한 장소 이다.","제주 서귀포시 남원읍 남태해안로 508 - 내비게이션에 ‘태흥2리 포구’ 입력 - 제주공항에서 43km 위치, 약 1시간 10분 소요",33.2872803,126.7504696,,"장애인 주차장 유무: 없음, 장애인 주차 대수: -, 위치: 태흥2리 포구 공터 주차장","장애인 화장실: 있음, 구분: 남녀구분, 위치: 태흥2리 체육공원 (제주 서귀포시 남원읍 남태해안로 502), 주변(대체)화장실: -",태흥2리 포구 주차장 → 2. 옥돔마을 표지판과 안내도 → 3. 태흥2리 체육공원 → 4. 서 방파제 → 5. 간이옥돔역 카페 → 6. 야외수영장 → 7. 자전거길 진입로 → 8. 태흥2리 어촌계 유판장,태흥2리 포구 주차장 → 2. 태흥2리항 동 방파제 → 3. 옥돔마을 표지판과 안내도 → 4. 태흥2리 체육공원 → 5. 서 방파제 → 6. 간이옥돔역 카페 → 7. 야외수영장 → 8. 자전거길 진입로 → 9. 2리 어촌계 유판장,"봄, 여름, 가을, 겨울, ●, ●, ●, ●",없음,없음,없음,없음,없음,"지적장애인: ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(수동): ●, 동행인 / 보호자 동반 추천, 휠체어 이용인(전동): ●, 보행가능한 지체장애인: ●, 청각장애인: ●, 시각장애인: ●, 동행인 / 보호자 동반 추천",
